Регион,Климатический район,Климатические подрайоны,"Среднемесячная температура  воздуха в январе, oС","Средняя скорость ветра за три зимних месяца, м/с","Среднемесячная температура  воздуха в июле, oС","Среднемесячная относительная влажность воздуха в июле, %"
Сахалинская область (Поронайск),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Сахалинская область (Смирных),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Сахалинская область (Александровск - Сахалинский),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Сахалинская область (Ноглики),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Сахалинская область (Оха),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Оренбургская область,III,IIIА,От -14 до -20,-,От +21 до +25,-
Самарская область,III,IIIА,От -14 до -20,-,От +21 до +25,-
Саратовская область,III,IIIА,От -14 до -20,-,От +21 до +25,-
Республика Казахстан  (Актюбинск),III,IIIА,От -14 до -20,-,От +21 до +25,-
Краснодарский край,III,IIIБ,От -5 до +2,-,От +21 до +25,-
Астраханская область,III,IIIБ,От -5 до +2,-,От +21 до +25,-
"Республика Грузия, Абхазия",III,IIIБ,От -5 до +2,-,От +21 до +25,-
Республика Армения,III,IIIБ,От -5 до +2,-,От +21 до +25,-
Республика Крым,III,IIIБ,От -5 до +2,-,От +21 до +25,-
Республика Северная Осетия - Алания,III,IIIБ,От -5 до +2,-,От +21 до +25,-
Карачаево-Черкесская Республика,III,IIIБ,От -5 до +2,-,От +21 до +25,-
Кабардино-Балкарская Республика,III,IIIБ,От -5 до +2,-,От +21 до +25,-
Волгоградская область,III,IIIВ,От -5 до -14,-,От +21 до +25,-
Ростовская область,III,IIIВ,От -5 до -14,-,От +21 до +25,-
Республика Адыгея,III,IIIВ,От -5 до -14,-,От +21 до +25,-
Ставропольский край,III,IIIВ,От -5 до -14,-,От +21 до +25,-
Чеченская республика,III,IIIВ,От -5 до -14,-,От +21 до +25,-
Республика Калмыкия,III,IIIВ,От -5 до -14,-,От +21 до +25,-
Республика Ингушетия,III,IIIВ,От -5 до -14,-,От +21 до +25,-
Республика Казахстан  (Аральск),IV,IVА,От -10 до +2,-,От +28 и выше,-
Республика Казахстан  (Кзыл-Орда),IV,IVА,От -10 до +2,-,От +28 и выше,-
Республика Казахстан  (Талды-Курган),IV,IVА,От -10 до +2,-,От +28 и выше,-
Республика Узбекистан,IV,IVА,От -10 до +2,-,От +28 и выше,-
Республика Таджикистан,IV,IVА,От -10 до +2,-,От +28 и выше,-
Республика Туркмения,IV,IVА,От -10 до +2,-,От +28 и выше,-
Республика Казахстан  (Алматы),IV,IVГ,От -15 до 0,-,От +25 до +28,-
